layer,sample_id,task_id,condition_name,cluster_label
0,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,1
0,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1
0,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,1
0,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,3
0,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,3
0,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,3
0,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,1
0,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1
0,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,1
0,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,1
0,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1
0,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,1
0,summarize_paragraph__care__variant_0,summarize_paragraph,care,0
0,summarize_paragraph__care__variant_1,summarize_paragraph,care,0
0,summarize_paragraph__care__variant_2,summarize_paragraph,care,0
0,summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,2
0,summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,2
0,summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2
0,summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0
0,summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,0
0,summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,0
0,summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0
0,summarize_paragraph__threat__variant_1,summarize_paragraph,threat,0
0,summarize_paragraph__threat__variant_2,summarize_paragraph,threat,0
1,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,1
1,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1
1,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,1
1,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,3
1,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,3
1,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,3
1,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,1
1,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1
1,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,1
1,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,1
1,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1
1,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,1
1,summarize_paragraph__care__variant_0,summarize_paragraph,care,0
1,summarize_paragraph__care__variant_1,summarize_paragraph,care,0
1,summarize_paragraph__care__variant_2,summarize_paragraph,care,0
1,summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,2
1,summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,2
1,summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2
1,summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0
1,summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,0
1,summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,0
1,summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0
1,summarize_paragraph__threat__variant_1,summarize_paragraph,threat,0
1,summarize_paragraph__threat__variant_2,summarize_paragraph,threat,0
2,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,1
2,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1
2,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,1
2,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,3
2,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,3
2,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,3
2,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,1
2,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1
2,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,1
2,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,1
2,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1
2,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,1
2,summarize_paragraph__care__variant_0,summarize_paragraph,care,0
2,summarize_paragraph__care__variant_1,summarize_paragraph,care,0
2,summarize_paragraph__care__variant_2,summarize_paragraph,care,0
2,summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,2
2,summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,2
2,summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2
2,summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0
2,summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,0
2,summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,0
2,summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0
2,summarize_paragraph__threat__variant_1,summarize_paragraph,threat,0
2,summarize_paragraph__threat__variant_2,summarize_paragraph,threat,0
3,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,1
3,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1
3,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,1
3,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,3
3,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,3
3,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,3
3,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,1
3,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1
3,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,1
3,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,1
3,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1
3,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,1
3,summarize_paragraph__care__variant_0,summarize_paragraph,care,0
3,summarize_paragraph__care__variant_1,summarize_paragraph,care,0
3,summarize_paragraph__care__variant_2,summarize_paragraph,care,0
3,summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,2
3,summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,2
3,summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2
3,summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0
3,summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,0
3,summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,0
3,summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0
3,summarize_paragraph__threat__variant_1,summarize_paragraph,threat,0
3,summarize_paragraph__threat__variant_2,summarize_paragraph,threat,0
4,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,1
4,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1
4,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,1
4,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,3
4,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,3
4,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,3
4,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,1
4,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1
4,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,1
4,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,1
4,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1
4,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,1
4,summarize_paragraph__care__variant_0,summarize_paragraph,care,0
4,summarize_paragraph__care__variant_1,summarize_paragraph,care,0
4,summarize_paragraph__care__variant_2,summarize_paragraph,care,0
4,summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,2
4,summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,2
4,summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2
4,summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0
4,summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,0
4,summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,0
4,summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0
4,summarize_paragraph__threat__variant_1,summarize_paragraph,threat,0
4,summarize_paragraph__threat__variant_2,summarize_paragraph,threat,0
5,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,1
5,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1
5,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,1
5,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,3
5,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,3
5,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,3
5,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,1
5,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1
5,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,1
5,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,1
5,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1
5,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,1
5,summarize_paragraph__care__variant_0,summarize_paragraph,care,0
5,summarize_paragraph__care__variant_1,summarize_paragraph,care,0
5,summarize_paragraph__care__variant_2,summarize_paragraph,care,0
5,summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,2
5,summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,2
5,summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2
5,summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0
5,summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,0
5,summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,0
5,summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0
5,summarize_paragraph__threat__variant_1,summarize_paragraph,threat,0
5,summarize_paragraph__threat__variant_2,summarize_paragraph,threat,0
6,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,1
6,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1
6,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,1
6,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,3
6,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,3
6,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,3
6,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,1
6,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1
6,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,1
6,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,1
6,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1
6,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,1
6,summarize_paragraph__care__variant_0,summarize_paragraph,care,0
6,summarize_paragraph__care__variant_1,summarize_paragraph,care,0
6,summarize_paragraph__care__variant_2,summarize_paragraph,care,0
6,summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,2
6,summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,2
