layer,sample_id,task_id,condition_name,cluster_label
0,arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,3
0,arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,3
0,arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,3
0,arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,3
0,arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,3
0,arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,3
0,arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,3
0,arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,3
0,arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,3
0,arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,3
0,arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,3
0,arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,3
0,classify_sentiment__care__variant_0,classify_sentiment,care,2
0,classify_sentiment__care__variant_1,classify_sentiment,care,2
0,classify_sentiment__care__variant_2,classify_sentiment,care,2
0,classify_sentiment__narrative_threat_control__variant_0,classify_sentiment,narrative_threat_control,2
0,classify_sentiment__narrative_threat_control__variant_1,classify_sentiment,narrative_threat_control,2
0,classify_sentiment__narrative_threat_control__variant_2,classify_sentiment,narrative_threat_control,2
0,classify_sentiment__neutral__variant_0,classify_sentiment,neutral,2
0,classify_sentiment__neutral__variant_1,classify_sentiment,neutral,2
0,classify_sentiment__neutral__variant_2,classify_sentiment,neutral,2
0,classify_sentiment__threat__variant_0,classify_sentiment,threat,2
0,classify_sentiment__threat__variant_1,classify_sentiment,threat,2
0,classify_sentiment__threat__variant_2,classify_sentiment,threat,2
0,compare_approaches__care__variant_0,compare_approaches,care,1
0,compare_approaches__care__variant_1,compare_approaches,care,1
0,compare_approaches__care__variant_2,compare_approaches,care,1
0,compare_approaches__narrative_threat_control__variant_0,compare_approaches,narrative_threat_control,1
0,compare_approaches__narrative_threat_control__variant_1,compare_approaches,narrative_threat_control,1
0,compare_approaches__narrative_threat_control__variant_2,compare_approaches,narrative_threat_control,1
0,compare_approaches__neutral__variant_0,compare_approaches,neutral,1
0,compare_approaches__neutral__variant_1,compare_approaches,neutral,1
0,compare_approaches__neutral__variant_2,compare_approaches,neutral,1
0,compare_approaches__threat__variant_0,compare_approaches,threat,1
0,compare_approaches__threat__variant_1,compare_approaches,threat,1
0,compare_approaches__threat__variant_2,compare_approaches,threat,1
0,estimate_quantity__care__variant_0,estimate_quantity,care,1
0,estimate_quantity__care__variant_1,estimate_quantity,care,1
0,estimate_quantity__care__variant_2,estimate_quantity,care,1
0,estimate_quantity__narrative_threat_control__variant_0,estimate_quantity,narrative_threat_control,1
0,estimate_quantity__narrative_threat_control__variant_1,estimate_quantity,narrative_threat_control,1
0,estimate_quantity__narrative_threat_control__variant_2,estimate_quantity,narrative_threat_control,1
0,estimate_quantity__neutral__variant_0,estimate_quantity,neutral,1
0,estimate_quantity__neutral__variant_1,estimate_quantity,neutral,1
0,estimate_quantity__neutral__variant_2,estimate_quantity,neutral,1
0,estimate_quantity__threat__variant_0,estimate_quantity,threat,1
0,estimate_quantity__threat__variant_1,estimate_quantity,threat,1
0,estimate_quantity__threat__variant_2,estimate_quantity,threat,1
